Opent,Open,High,Low,Close,Volume,Close time,Volume pair,TradeNr,useless,useless2,nothing
1682828100000,29180.27000000,29197.02000000,29180.27000000,29197.01000000,41.81264000,1682828279999,1220453.34269280,795,37.86948000,1105342.21049870,0
1682828280000,29197.02000000,29200.00000000,29189.10000000,29189.13000000,23.06594000,1682828459999,673405.37923810,706,13.68638000,399568.49023270,0
1682828460000,29189.13000000,29189.14000000,29177.19000000,29179.22000000,20.64533000,1682828639999,602512.75576480,830,8.50685000,248263.29200460,0
1682828640000,29179.23000000,29185.33000000,29175.99000000,29182.84000000,18.02253000,1682828819999,525870.47898470,702,10.15563000,296320.40449890,0
1682828820000,29182.85000000,29182.85000000,29181.36000000,29181.36000000,5.13880000,1682828999999,149963.64250680,381,1.95454000,57038.88150140,0
1682829000000,29181.37000000,29187.60000000,29181.36000000,29187.60000000,10.07103000,1682829179999,293906.36249450,695,6.62594000,193367.48582680,0
1682829180000,29187.59000000,29187.60000000,29182.67000000,29184.92000000,11.59876000,1682829359999,338501.90046640,596,3.66792000,107043.26376030,0
1682829360000,29184.93000000,29189.51000000,29184.92000000,29189.50000000,9.06346000,1682829539999,264535.67827940,647,6.69708000,195467.39066450,0
1682829540000,29189.50000000,29196.83000000,29187.61000000,29194.52000000,19.79440000,1682829719999,577847.43139860,872,13.16130000,384200.90326170,0
1682829720000,29194.51000000,29200.00000000,29194.51000000,29197.41000000,15.88175000,1682829899999,463707.47881630,605,9.52877000,278205.33866190,0
1682829900000,29197.42000000,29200.00000000,29197.41000000,29199.99000000,8.78821000,1682830079999,256608.24785330,545,5.86464000,171242.53726070,0
1682830080000,29199.99000000,29211.12000000,29199.99000000,29206.44000000,41.72620000,1682830259999,1218646.15711800,1062,30.02317000,876803.16493750,0
1682830260000,29206.43000000,29217.17000000,29206.43000000,29208.20000000,18.04929000,1682830439999,527267.77890000,761,10.74243000,313808.28002390,0
1682830440000,29208.20000000,29213.99000000,29197.91000000,29199.22000000,19.35519000,1682830619999,565289.31761130,779,11.10764000,324426.29511060,0
1682830620000,29199.22000000,29210.63000000,29199.22000000,29210.61000000,18.20812000,1682830799999,531780.28580090,690,14.21704000,415208.78573400,0
1682830800000,29210.62000000,29213.81000000,29205.65000000,29213.81000000,37.09850000,1682830979999,1083625.00089660,950,28.93248000,845089.40297030,0
1682830980000,29213.80000000,29220.88000000,29213.80000000,29217.00000000,29.07948000,1682831159999,849671.55907740,735,21.02594000,614351.41839470,0
1682831160000,29216.99000000,29223.30000000,29216.99000000,29223.30000000,12.94179000,1682831339999,378164.53508110,710,7.55541000,220769.45966180,0
1682831340000,29223.29000000,29231.00000000,29223.29000000,29230.50000000,24.90782000,1682831519999,727984.93573760,853,17.44029000,509719.39061000,0
