Time,Index,Equity,Shares,Entry,Stoploss,Short or Long,Profit
2021-11-17 08:39:00,55,8725166.3955,-84,1857.75000,0.00000,Short,156041.6369
2021-11-17 09:21:00,56,9024672.8241,-161,1860.40000,0.00000,Short,299506.4285
2021-11-19 14:15:00,57,9058133.7163,-18,1859.05000,0.00000,Short,33460.8922
2021-11-25 08:45:00,58,9556927.5269,-278,1794.33000,0.00000,Short,498793.8106
2021-12-01 15:09:00,59,9737782.4249,-101,1790.75000,0.00000,Short,180854.8981
2021-12-03 13:39:00,60,9792719.8085,-31,1772.28000,0.00000,Short,54937.3836
2021-12-06 17:15:00,61,10028117.1238,-132,1783.42000,0.00000,Short,235397.3153
2021-12-09 08:21:00,62,10487094.1535,-257,1786.01000,0.00000,Short,458977.0297
2021-12-10 13:48:00,63,10540388.9556,-30,1776.60000,0.00000,Short,53294.8021
2021-12-10 14:15:00,64,10731314.7194,-107,1784.46000,0.00000,Short,190925.7638
2021-12-10 15:33:00,65,11029004.4169,-167,1782.68000,0.00000,Short,297689.6975
2021-12-21 12:09:00,66,11886389.0908,-477,1797.56000,0.00000,Short,857384.6738
2021-12-21 13:33:00,67,12278534.4806,-218,1798.94000,0.00000,Short,392145.3899
2021-12-22 12:12:00,68,12530950.2248,-141,1790.29000,0.00000,Short,252415.7441
2021-12-22 14:18:00,69,12791026.9192,-145,1793.74000,0.00000,Short,260076.6945
2021-12-22 14:30:00,70,13112139.0214,-179,1794.03000,0.00000,Short,321112.1021
2021-12-30 13:06:00,71,13196841.0989,-47,1802.28000,0.00000,Short,84702.0776
2021-12-30 14:54:00,72,13319609.0924,-68,1805.52000,0.00000,Short,122767.9935
2021-12-31 14:57:00,73,13396156.6393,-42,1822.67000,0.00000,Short,76547.5469
2022-01-07 18:57:00,74,13656616.1108,-145,1796.38000,0.00000,Short,260459.4715
2022-01-10 08:39:00,75,13758822.3780,-57,1793.20000,0.00000,Short,102206.2673
2022-01-12 15:03:00,76,13859013.7162,-55,1821.77000,0.00000,Short,100191.3382
2022-01-17 08:54:00,77,14230612.0990,-204,1821.67000,0.00000,Short,371598.3828
2022-01-19 09:30:00,78,14457565.9809,-125,1815.74000,0.00000,Short,226953.8820
2022-01-19 09:45:00,79,14673691.5226,-119,1816.29000,0.00000,Short,216125.5417
2022-01-19 12:27:00,80,15088280.0858,-228,1818.48000,0.00000,Short,414588.5632
2022-01-20 08:27:00,81,15417750.9863,-179,1840.73000,0.00000,Short,329470.9006
2022-01-31 12:00:00,82,15566485.5317,-83,1792.09000,0.00000,Short,148734.5454
2022-01-31 14:54:00,83,15994074.4749,-238,1796.70000,0.00000,Short,427588.9431
2022-02-02 15:06:00,84,16048193.0276,-30,1804.06000,0.00000,Short,54118.5527
2022-02-07 09:45:00,85,16303587.9229,-141,1811.42000,0.00000,Short,255394.8954
2022-02-11 09:03:00,86,16738361.6550,-238,1826.89000,0.00000,Short,434773.7320
2022-02-11 09:24:00,87,17163922.2698,-233,1826.55000,0.00000,Short,425560.6148
2022-02-11 14:51:00,88,17411131.5863,-135,1831.29000,0.00000,Short,247209.3166
2022-02-16 15:06:00,89,17530241.2393,-64,1861.20000,0.00000,Short,119109.6530
2022-02-18 13:42:00,90,17663023.9719,-70,1897.01000,0.00000,Short,132782.7326
2022-02-23 15:33:00,91,17805974.3943,-75,1906.12000,0.00000,Short,142950.4225
2022-02-23 16:00:00,92,18074901.6577,-141,1907.40000,0.00000,Short,268927.2634
2022-03-02 08:18:00,93,18168040.5491,-48,1940.51000,0.00000,Short,93138.8913
2022-03-10 10:24:00,94,18227807.7628,-30,1992.36000,0.00000,Short,59767.2138
2022-03-16 12:12:00,95,18339284.0338,-58,1922.12000,0.00000,Short,111476.2710
2022-03-17 11:24:00,96,18866035.7768,-271,1943.85000,0.00000,Short,526751.7430
2022-03-21 16:54:00,97,19057297.2505,-99,1932.05000,0.00000,Short,191261.4736
2022-03-23 08:27:00,98,19137992.8884,-42,1921.44000,0.00000,Short,80695.6380
2022-03-23 10:57:00,99,19296418.0424,-82,1932.13000,0.00000,Short,158425.1539
2022-03-23 13:39:00,100,19418095.8713,-63,1931.51000,0.00000,Short,121677.8289
2022-03-23 13:51:00,101,19617204.5540,-103,1933.21000,0.00000,Short,199108.6828
2022-03-23 14:51:00,102,19798898.4717,-94,1933.03000,0.00000,Short,181693.9177
2022-04-04 13:48:00,103,19841384.7424,-22,1931.31000,0.00000,Short,42486.2707
2022-04-05 12:39:00,104,20063428.3690,-115,1930.93000,0.00000,Short,222043.6266
2022-04-06 09:36:00,105,20285258.1084,-115,1929.07000,0.00000,Short,221829.7394
2022-04-06 10:30:00,106,20375828.2539,-47,1927.14000,0.00000,Short,90570.1455
2022-04-06 10:39:00,107,20522322.3837,-76,1927.67000,0.00000,Short,146494.1298
2022-04-06 12:48:00,108,20587785.4557,-34,1925.50000,0.00000,Short,65463.0720
2022-04-07 10:00:00,109,20768955.8248,-94,1927.46000,0.00000,Short,181170.3691
2022-04-12 12:27:00,110,20841401.5478,-37,1958.11000,0.00000,Short,72445.7230
2022-04-19 08:51:00,111,21104516.9499,-133,1978.43000,0.00000,Short,263115.4021
2022-04-26 15:03:00,112,22011647.1188,-476,1905.85000,0.00000,Short,907130.1689
2022-04-27 12:30:00,113,22120100.7812,-57,1902.81000,0.00000,Short,108453.6624
2022-04-28 12:51:00,114,22150258.9716,-16,1885.00000,0.00000,Short,30158.1904
2022-05-03 13:21:00,115,22198673.5266,-26,1862.21000,0.00000,Short,48414.5550
2022-05-04 08:39:00,116,22391221.5030,-103,1869.51000,0.00000,Short,192547.9764
2022-05-06 09:12:00,117,22521102.7597,-69,1882.45000,0.00000,Short,129881.2567
2022-05-06 15:30:00,118,22757548.5721,-125,1891.68000,0.00000,Short,236445.8124
2022-05-11 13:54:00,119,22815025.6332,-31,1854.21000,0.00000,Short,57477.0612
2022-05-17 13:09:00,120,22912004.5142,-53,1829.90000,0.00000,Short,96978.8809
2022-05-18 16:06:00,121,23094276.5772,-100,1822.83000,0.00000,Short,182272.0630
2022-05-24 08:09:00,122,23356502.5127,-141,1859.87000,0.00000,Short,262225.9355
2022-05-31 08:48:00,123,23510466.5743,-83,1855.10000,0.00000,Short,153964.0616
2022-06-01 14:18:00,124,23633836.9916,-67,1841.46000,0.00000,Short,123370.4173
2022-06-02 08:27:00,125,23804172.1309,-92,1851.58000,0.00000,Short,170335.1393
2022-06-02 09:57:00,126,23996963.0427,-104,1853.87000,0.00000,Short,192790.9119
2022-06-08 08:03:00,127,22838750.3627,0,1850.18000,0.00000,Short,-1158212.6800
2022-06-08 10:21:00,128,23075570.7127,-128,1850.27000,0.00000,Short,236820.3499
2022-06-08 13:00:00,129,23379313.2870,-164,1852.20000,0.00000,Short,303742.5744
2022-06-14 08:21:00,130,23684734.6206,-167,1828.98000,0.00000,Short,305421.3336
2022-06-15 09:21:00,131,23828720.8609,-79,1822.72000,0.00000,Short,143986.2403
2022-06-16 09:24:00,132,23914834.7338,-47,1832.32000,0.00000,Short,86113.8729
2022-06-21 14:51:00,133,24003119.1964,-48,1839.37000,0.00000,Short,88284.4626
2022-06-23 13:45:00,134,24093061.6295,-49,1835.67000,0.00000,Short,89942.4331
2022-06-23 15:24:00,135,24210731.3689,-64,1838.70000,0.00000,Short,117669.7394
2022-06-29 10:48:00,136,24531912.0969,-176,1825.00000,0.00000,Short,321180.7280
2022-06-30 12:48:00,137,24595622.2741,-35,1820.40000,0.00000,Short,63710.1772
2022-06-30 13:15:00,138,24684805.2528,-49,1820.17000,0.00000,Short,89182.9787
2022-07-13 09:21:00,139,24826552.6074,-82,1728.73000,0.00000,Short,141747.3546
2022-07-13 18:06:00,140,24875169.1703,-28,1736.41000,0.00000,Short,48616.5628
2022-07-19 11:27:00,141,25156733.7154,-164,1716.96000,0.00000,Short,281564.5451
2022-07-20 09:45:00,142,25293706.2965,-80,1712.26000,0.00000,Short,136972.5812
2022-07-21 16:51:00,143,25473312.7195,-105,1710.64000,0.00000,Short,179606.4230
2022-07-22 08:45:00,144,25569474.0695,-56,1717.27000,0.00000,Short,96161.3500
2022-07-22 11:12:00,145,25758935.5011,-110,1722.48000,0.00000,Short,189461.4316
2022-07-27 09:54:00,146,25913900.8026,-90,1721.94000,0.00000,Short,154965.3015
2022-07-28 09:51:00,147,25987118.3693,-42,1743.38000,0.00000,Short,73217.5667
2022-08-03 13:12:00,148,26093324.5966,-60,1770.21000,0.00000,Short,106206.2272
2022-08-08 08:06:00,149,26320737.5110,-128,1776.77000,0.00000,Short,227412.9144
2022-08-08 14:51:00,150,26431576.9402,-62,1787.84000,0.00000,Short,110839.4292
2022-08-10 10:00:00,151,26655827.2344,-125,1794.11000,0.00000,Short,224250.2942
2022-08-10 13:09:00,152,26763489.5743,-60,1794.48000,0.00000,Short,107662.3399
2022-08-11 10:30:00,153,27211140.2136,-250,1790.71000,0.00000,Short,447650.6394
2022-08-11 11:15:00,154,27456497.9713,-137,1791.04000,0.00000,Short,245357.7577
2022-08-11 12:39:00,155,27513909.2464,-32,1794.21000,0.00000,Short,57411.2751
2022-08-23 17:09:00,156,27664303.0422,-86,1748.87000,0.00000,Short,150393.7958
2022-08-24 09:48:00,157,27792035.8878,-73,1749.87000,0.00000,Short,127732.8456
2022-09-01 09:51:00,158,27894440.1431,-60,1706.84000,0.00000,Short,102404.2554
2022-09-02 10:30:00,159,28342930.8021,-263,1705.39000,0.00000,Short,448490.6589
2022-09-02 12:45:00,160,28383884.5847,-24,1706.51000,0.00000,Short,40953.7826
2022-09-07 14:51:00,161,28719485.0475,-196,1712.35000,0.00000,Short,335600.4628
2022-09-12 09:57:00,162,29140452.5079,-244,1725.38000,0.00000,Short,420967.4604
2022-09-13 08:54:00,163,29368142.8057,-132,1725.03000,0.00000,Short,227690.2978
2022-09-13 11:09:00,164,28349585.1057,0,1729.30000,0.00000,Short,-1018557.7000
2022-09-21 10:21:00,165,28828486.2499,-286,1674.58000,0.00000,Short,478901.1442
2022-09-21 10:54:00,166,29352926.9716,-313,1675.63000,0.00000,Short,524440.7217
2022-09-22 09:48:00,167,29436404.9626,-50,1669.66000,0.00000,Short,83477.9910
2022-09-28 11:09:00,168,29514513.0758,-48,1627.35000,0.00000,Short,78108.1132
2022-09-28 13:12:00,169,29568469.4582,-33,1635.14000,0.00000,Short,53956.3824
2022-09-29 15:18:00,170,29639726.0726,-43,1657.23000,0.00000,Short,71256.6143
2022-10-03 12:39:00,171,29724776.2193,-51,1667.75000,0.00000,Short,85050.1467
2022-10-06 08:12:00,172,29850563.0016,-73,1723.21000,0.00000,Short,125786.7823
2022-10-07 08:30:00,173,30080045.6718,-134,1712.66000,0.00000,Short,229482.6702
2022-10-11 17:45:00,174,30316592.8181,-141,1677.74000,0.00000,Short,236547.1463
2022-10-17 12:36:00,175,30569520.8415,-152,1664.10000,0.00000,Short,252928.0234
2022-10-20 12:39:00,176,30628354.2713,-36,1634.36000,0.00000,Short,58833.4298
2022-10-21 11:30:00,177,30834972.1435,-127,1627.01000,0.00000,Short,206617.8722
2022-10-25 15:45:00,178,30977458.7138,-86,1656.92000,0.00000,Short,142486.5703
2022-11-01 08:27:00,179,31463288.6623,-295,1646.98000,0.00000,Short,485829.9485
2022-11-08 14:33:00,180,31820299.9703,-213,1676.21000,0.00000,Short,357011.3080
2022-11-09 14:09:00,181,31948591.7723,-75,1710.66000,0.00000,Short,128291.8020
2022-11-10 17:06:00,182,32079709.4048,-75,1748.34000,0.00000,Short,131117.6325
2022-11-18 08:15:00,183,32151988.4778,-41,1763.01000,0.00000,Short,72279.0730
2022-11-22 08:45:00,184,32239108.7503,-50,1742.51000,0.00000,Short,87120.2725
2022-11-22 09:00:00,185,32352478.8476,-65,1744.26000,0.00000,Short,113370.0974
2022-11-23 14:57:00,186,32394296.8184,-24,1742.52000,0.00000,Short,41817.9708
2022-11-23 15:12:00,187,32441245.3813,-27,1738.94000,0.00000,Short,46948.5629
2022-11-28 08:03:00,188,32640813.2065,-114,1750.70000,0.00000,Short,199567.8252
2022-11-29 08:54:00,189,32742720.0518,-58,1757.12000,0.00000,Short,101906.8452
2022-12-02 10:06:00,190,32827295.2370,-47,1799.58000,0.00000,Short,84575.1852
2022-12-07 11:48:00,191,32892823.4850,-37,1771.14000,0.00000,Short,65528.2481
2022-12-12 11:51:00,192,33244520.4619,-196,1794.48000,0.00000,Short,351696.9769
2022-12-14 14:51:00,193,33387530.3208,-79,1810.36000,0.00000,Short,143009.8589
2022-12-16 16:36:00,194,33732748.0065,-193,1788.80000,0.00000,Short,345217.6857
2022-12-19 10:00:00,195,33883544.9982,-84,1795.31000,0.00000,Short,150796.9916
